场站名称,省份,市区,区/县,详细地址,负责人,设备MAC地址,设备ICCID,设备场站序号,vpnIP,产品型号
甘肃虎豹化工充电站,甘肃省,白银市,靖远县,产业大道与民族团结大道交叉口正东方350米左右,陈为,f6:b9:af:6c:55:ba," 898608331924D0856925",1号桩,168.55.3.102,320kw
河南新乡华新公交充电站,河南省,新乡市,凤泉区,河南新乡新乡华新公交充电站,姬铭阳,82:43:23:6f:4e:78," 898607B11924C0338161",1号桩,168.55.4.168,160kw/1-4
河南新乡华新公交充电站,河南省,新乡市,凤泉区,河南新乡新乡华新公交充电站,姬铭阳,c2:4e:cc:29:b8:02," 898607B11924C0338246",2号桩,168.55.3.99,160kw/1-4
河南新乡华新公交充电站,河南省,新乡市,凤泉区,河南新乡新乡华新公交充电站,姬铭阳,66:2f:ac:06:e4:cc," 898607B11924C0334975",3号桩,168.55.3.235,160kw/1-4
河南新乡华新公交充电站,河南省,新乡市,凤泉区,河南新乡新乡华新公交充电站,姬铭阳,12:60:96:b4:a1:fa," 898608331924D0854462",4号桩,168.55.4.96,160kw/1-4
河南新乡华新公交充电站,河南省,新乡市,凤泉区,河南新乡新乡华新公交充电站,姬铭阳,56:3d:01:5d:c1:bf," 898604251024C0012831",6号桩,168.55.2.51,160kw/1-4
河南新乡华新公交充电站,河南省,新乡市,凤泉区,河南新乡新乡华新公交充电站,姬铭阳,8a:70:10:98:66:c0," 898607B11924C0338040",5号桩,168.55.3.229,160kw/1-4
山东临工山东省临沂市兰陵县万顺商砼充电站,山东省,临沂市,兰陵县,山东省临沂市兰陵县,王祥宇,5a:a1:d6:57:b1:5b," 898607B11924C0333632",1号桩,168.55.1.85,320kw
山东省德州市临邑县广宇炉料领充充电站,山东省,德州市,临邑县,山东省德州市临邑县广宇炉料领充充电站,王祥宇,1e:19:a1:1e:e0:4f," 898608331924D0854957",1号桩,168.55.0.159,160kw/1-4
睿趣卧龙镇全有超市超充站,湖北省,襄阳市,谷城县,茨河镇白龙大道207号茨河车站,何东山,5e:28:ca:b6:6a:62," 898608331924D0853992",1号桩,168.55.5.251,160kw/1-4
冠群新能源灞桥狄寨平快充站,陕西省,西安市,灞桥区,狄寨街道霸上猫耳面,刘文坤,be:26:db:99:33:a4," 89860440192390023726",1号桩,168.55.1.29,160kw/1-4
桃江县湘怡集中式快速充电站,湖南省,益阳市,桃江县,S206与创业大道交叉口西南方向95米左右,成志宏,3a:7d:55:6d:b5:18," 898607B11924C0334616",1号桩,168.55.1.226,320kw
楼观镇八一村六街充电站,陕西省,西安市,周至县,八一村六街,杜祥,8e:22:4d:ca:0f:52," 898604F7192392295945",1号桩,168.55.2.241,120kw
巧家汉庭酒店充电站,云南省,昭通市,巧家县,玉屏街道迤博路锦绣堂琅二期,雷野,f6:3b:e1:b1:f8:7f," 898604F7192392293657",1号桩,168.55.0.230,160kw/1-4
海口美源日月城充电站,海南省,海口市,龙华区,滨海大道民声东路3号,符焕相,b2:b5:00:01:c8:60," 898608331924D0854362",1号桩,168.55.4.0,160kw/1-4
周至尚村镇泰博宾馆充电站,陕西省,西安市,周至县,周至尚村镇泰博宾馆,李一睿,3e:d7:f3:0f:ca:1f," 898604F7192392295863",1号桩,168.55.2.180,120kw
路劲城四期东南角停车场充电站,江苏省,常州市,武进区,湖塘镇路劲城四期东南角停车场（夏城路与十里路交叉口）,赖钟城,8a:db:c1:18:1f:80," 898607B11924C0334100",0号桩,168.55.2.181,160kw/1-4
天津橄榄树酒店充电站,天津市,天津城区,和平区,天津橄榄树酒店充电站,黄小乐,f6:ed:55:7f:02:d5," 898607B11924C0337955",1号桩,168.55.0.6,160kw/1-4
山东省青岛市西海岸新区泊里镇绿通恒河公园站,山东省,青岛市,黄岛区,泊里镇泊里一路恒河公园西头,王祥宇,3e:a6:55:a9:b5:4d," 89860440192390022570",2号桩,168.55.4.185,160kw/1-4
山东省青岛市西海岸新区泊里镇绿通恒河公园站,山东省,青岛市,黄岛区,泊里镇泊里一路恒河公园西头,王祥宇,86:9d:2c:1d:9f:ff," 898604251024C0013524",3号桩,168.55.4.172,160kw/1-4
山东省青岛市西海岸新区泊里镇绿通恒河公园站,山东省,青岛市,黄岛区,泊里镇泊里一路恒河公园西头,王祥宇,8e:f4:92:3a:54:a5," 898604251024C0012897",4号桩,168.55.2.19,160kw/1-4
山东省青岛市西海岸新区泊里镇绿通恒河公园站,山东省,青岛市,黄岛区,泊里镇泊里一路恒河公园西头,王祥宇,a6:62:f0:1c:f8:fc," 89860440192390022574",1号桩,168.55.2.23,160kw/1-4
河南省焦作市冯营中铝矿业充电站,河南省,焦作市,马村区,中铝冯营矿区,姬铭阳,3a:65:1a:4c:e0:6a," 898608331924D0854330",1号桩,168.55.5.189,320kw
东阳市紫荆庄园充电站160-4充电站,浙江省,金华市,东阳市,东阳市白云街道辰希仓库,向晓东,ba:5b:04:4a:8d:52," 898608331924D0854141",1号桩,168.55.0.100,160kw/1-4
山东威海临港经济技术开发区金禾充电站二站,山东省,威海市,威海经济技术开发区,山东省威海临港经济技术开发区蔺山镇正气路28号,王祥宇,ca:16:13:81:a7:57," 898607B11924C0334930",1号桩,168.55.6.55,160kw/1-4
岷县寺沟镇河那哈充电站,甘肃省,定西市,岷县,岷县河那哈S210旁,刘文坤,e2:b4:6b:56:b7:0e," 898607B11924C0333798",1号桩,168.55.6.2,320kw
